V,I,P,R,T,mAH,WH
41.602,0,0,0,24,0,0
41.602,0,0,0,24,0,0
41.602,0,0,0,24,0,0
41.602,0,0,0,24,0,0
41.602,0,0,0,24,0,0
41.602,0,0,0,24,0,0
41.602,0,0,0,24,0,0
41.602,0,0,0,24,0,0
41.602,0,0,0,24,0,0
41.602,0,0,0,24,0,0
41.602,0,0,0,24,0,0
41.602,0,0,0,24,0,0
39.522,7.46,294.8,5.3,24,16.18,0.64067
39.389,7.46,293.8,5.28,24,36.48,1.44177
39.275,7.45,292.6,5.27,24,57.21,2.25694
39.196,7.45,292,5.26,24,77.92,3.06933
39.118,7.45,291.4,5.25,24,98.21,3.86389
39.06,7.45,291,5.24,24,119.74,4.70567
38.996,7.45,290.5,5.23,24,140.48,5.51483
38.949,7.45,290.2,5.23,24,161.18,6.32158
38.896,7.45,289.8,5.22,24,181.9,7.12778
38.853,7.45,289.5,5.22,24,202.59,7.93236
38.807,7.45,289.1,5.21,24,223.3,8.73641
38.768,7.45,288.8,5.2,24,243.99,9.53903
38.728,7.45,288.5,5.2,24,264.7,10.34132
38.684,7.45,288.2,5.19,24,285.41,11.14298
38.648,7.45,287.9,5.19,24,306.11,11.9432
38.608,7.45,287.6,5.18,24,326.8,12.74254
38.573,7.45,287.4,5.18,24,347.51,13.54174
38.529,7.45,287,5.17,24,368.21,14.33945
38.495,7.45,286.8,5.17,24,388.9,15.13645
38.457,7.45,286.5,5.16,24,409.65,15.93471
38.423,7.45,286.3,5.16,24,430.37,16.7311
38.386,7.45,286,5.15,24,450.65,17.50991
38.353,7.45,285.7,5.15,24,471.34,18.30406
38.316,7.45,285.5,5.14,24,492.05,19.09788
38.284,7.45,285.2,5.14,24,512.78,19.89169
38.249,7.45,285,5.13,24,533.47,20.68364
38.212,7.45,284.7,5.13,24,554.17,21.47484
38.181,7.45,284.4,5.12,24,574.87,22.26535
38.145,7.45,284.2,5.12,24,595.61,23.05689
38.114,7.45,283.9,5.12,24,616.33,23.84711
38.082,7.45,283.7,5.11,24,636.65,24.62125
38.044,7.45,283.4,5.11,24,657.34,25.4088
38.008,7.45,283.2,5.1,24.4,678.04,26.1957
37.979,7.45,282.9,5.1,24.9,698.81,26.98484
37.943,7.45,282.7,5.09,25,719.5,27.77041
37.914,7.45,282.5,5.09,25,740.64,28.57231
37.88,7.45,282.2,5.08,25,761.34,29.35653
37.85,7.45,282,5.08,24.9,782.08,30.14179
37.831,7.45,281.8,5.08,24.8,802.37,30.90947
37.789,7.45,281.5,5.07,24.5,823.07,31.69191
37.756,7.45,281.3,5.07,24.3,843.76,32.47376
37.726,7.45,281.1,5.06,24.1,864.47,33.25526
37.693,7.45,280.8,5.06,24,885.18,34.03612
37.658,7.45,280.6,5.05,24,906.29,34.83138
37.63,7.45,280.3,5.05,24.1,927.03,35.61209
37.602,7.45,280.1,5.05,24.2,947.31,36.37512
37.569,7.45,279.9,5.04,24.3,968.08,37.15557
